task,arm,joint,fault_type,sampling_mode,seed,worker,success
grab_roller,left,fl_joint5,locked,eci,100013,1,True
grab_roller,left,fl_joint5,locked,eci,100014,0,True
grab_roller,left,fl_joint5,locked,eci,100016,0,True
grab_roller,left,fl_joint5,locked,eci,100017,0,True
grab_roller,left,fl_joint5,locked,eci,100018,0,True
grab_roller,left,fl_joint5,locked,eci,100019,0,True
grab_roller,left,fl_joint5,locked,eci,100015,1,False
grab_roller,left,fl_joint5,locked,eci,100021,1,True
grab_roller,left,fl_joint5,locked,eci,100020,0,True
grab_roller,left,fl_joint5,locked,eci,100022,1,True
grab_roller,left,fl_joint5,locked,eci,100024,0,False
grab_roller,left,fl_joint5,locked,eci,100025,1,False
grab_roller,left,fl_joint5,locked,eci,100026,0,True
grab_roller,left,fl_joint5,locked,eci,100027,1,False
grab_roller,left,fl_joint5,locked,eci,100028,0,False
grab_roller,left,fl_joint5,locked,eci,100030,0,True
grab_roller,left,fl_joint5,locked,eci,100029,1,True
grab_roller,left,fl_joint5,locked,eci,100032,1,True
grab_roller,left,fl_joint5,locked,eci,100033,1,True
grab_roller,left,fl_joint5,locked,eci,100034,1,True
grab_roller,left,fl_joint5,locked,eci,100031,0,False
grab_roller,left,fl_joint5,locked,eci,100035,1,True
grab_roller,left,fl_joint5,locked,eci,100038,0,True
grab_roller,left,fl_joint5,locked,eci,100040,0,True
grab_roller,left,fl_joint5,locked,eci,100039,1,True
grab_roller,left,fl_joint5,locked,eci,100042,1,True
grab_roller,left,fl_joint5,locked,eci,100041,0,True
grab_roller,left,fl_joint5,locked,eci,100044,0,True
grab_roller,left,fl_joint5,locked,eci,100045,0,True
grab_roller,left,fl_joint5,locked,eci,100043,1,True
grab_roller,left,fl_joint5,locked,eci,100046,0,False
grab_roller,left,fl_joint5,locked,eci,100047,1,False
grab_roller,left,fl_joint5,locked,eci,100049,1,True
grab_roller,left,fl_joint5,locked,eci,100050,1,True
grab_roller,left,fl_joint5,locked,eci,100051,1,True
grab_roller,left,fl_joint5,locked,eci,100052,1,True
grab_roller,left,fl_joint5,locked,eci,100048,0,False
grab_roller,left,fl_joint5,locked,eci,100053,1,True
adjust_bottle,left,fl_joint3,locked,b1,100001,1,True
adjust_bottle,left,fl_joint3,locked,b1,100002,0,False
adjust_bottle,left,fl_joint3,locked,b1,100005,1,False
adjust_bottle,left,fl_joint3,locked,b1,100006,0,False
adjust_bottle,left,fl_joint3,locked,b1,100008,1,False
adjust_bottle,left,fl_joint3,locked,b1,100010,0,False
adjust_bottle,left,fl_joint3,locked,b1,100011,1,False
adjust_bottle,left,fl_joint3,locked,b1,100012,0,False
adjust_bottle,left,fl_joint3,locked,b1,100013,1,True
adjust_bottle,left,fl_joint3,locked,b1,100015,0,True
adjust_bottle,left,fl_joint3,locked,b1,100021,0,True
adjust_bottle,left,fl_joint3,locked,b1,100022,0,False
adjust_bottle,left,fl_joint3,locked,b1,100023,0,False
adjust_bottle,left,fl_joint3,locked,b1,100024,0,False
adjust_bottle,left,fl_joint3,locked,b1,100025,0,False
adjust_bottle,left,fl_joint3,locked,b1,100026,0,False
adjust_bottle,left,fl_joint3,locked,b1,100027,0,False
adjust_bottle,left,fl_joint3,locked,b1,100028,0,False
adjust_bottle,left,fl_joint3,locked,b1,100016,1,False
adjust_bottle,left,fl_joint3,locked,b1,100030,0,False
adjust_bottle,left,fl_joint3,locked,b1,100033,0,False
adjust_bottle,left,fl_joint3,locked,b1,100031,1,True
